"cluster_set","featset","focgene","subtype","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","prot_ctriad","HA","H3N8",1,5,0,0.333333333333333,7,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",0.1,6,0,0.333333333333333,3,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",0.1,6,0,0.333333333333333,5,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",0.1,6,0,0.333333333333333,7,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",0.3,6,0,0.333333333333333,3,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",0.3,6,0,0.333333333333333,5,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",0.3,6,0,0.333333333333333,7,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",1,6,0,0.333333333333333,3,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",1,6,0,0.333333333333333,5,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H3N8",1,6,0,0.333333333333333,7,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","prot_ctriad","HA","H4N6",0.1,4,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,4,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,4,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,4,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,4,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,4,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,4,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,4,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,4,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,5,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,5,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,5,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,5,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,5,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,5,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,5,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,5,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,5,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,6,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,6,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.1,6,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,6,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,6,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",0.3,6,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,6,0,0.333333333333333,3,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,6,0,0.333333333333333,5,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N6",1,6,0,0.333333333333333,7,1,1000,0.0805640292140805,0,9.05714659949522e-05,0
"70_7","prot_ctriad","HA","H4N8",0.1,4,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,4,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,4,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,4,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,4,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,4,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,4,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,4,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,4,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,5,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,5,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,5,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,5,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,5,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,5,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,5,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,5,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,5,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,6,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,6,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.1,6,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,6,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,6,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",0.3,6,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,6,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,6,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H4N8",1,6,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","prot_ctriad","HA","H5N1",0.1,4,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,4,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,4,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,4,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,4,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,4,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,4,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,4,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,4,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,5,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,5,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,5,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,5,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,5,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,5,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,5,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,5,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,5,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,6,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,6,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.1,6,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,6,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,6,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",0.3,6,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,6,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,6,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N1",1,6,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","prot_ctriad","HA","H5N6",0.1,4,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,4,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,4,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,4,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,4,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,4,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,4,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,4,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,4,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,5,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,5,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,5,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,5,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,5,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,5,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,5,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,5,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,5,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,6,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,6,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.1,6,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,6,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,6,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",0.3,6,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,6,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,6,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H5N6",1,6,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","prot_ctriad","HA","H7N3",0.1,4,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,4,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,4,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,4,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,4,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,4,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,4,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,4,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,4,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,5,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,5,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,5,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,5,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,5,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,5,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,5,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,5,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,5,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,6,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,6,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.1,6,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,6,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,6,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",0.3,6,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,6,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,6,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N3",1,6,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","prot_ctriad","HA","H7N4",0.1,4,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,4,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,4,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,4,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,4,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,4,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,4,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,4,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,4,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,5,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,5,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,5,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,5,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,5,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,5,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,5,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,5,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,5,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,6,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,6,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.1,6,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,6,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,6,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",0.3,6,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,6,0,0.333333333333333,3,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,6,0,0.333333333333333,5,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N4",1,6,0,0.333333333333333,7,1,1000,0.0760024993217562,0,0.000932432906404363,0
"70_7","prot_ctriad","HA","H7N7",0.1,4,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,4,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,4,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,4,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,4,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,4,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,4,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,4,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,4,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,5,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,5,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,5,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,5,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,5,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,5,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,5,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,5,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,5,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,6,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,6,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.1,6,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,6,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,6,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",0.3,6,0,0.333333333333333,7,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,6,0,0.333333333333333,3,1,1000,0.0776871948494755,0,0.000942403325056659,0
"70_7","prot_ctriad","HA","H7N7",1,6,0,0.333333333333333,5,1,1000,0.0776871948494755,0,0.000942403325056659,0
